"Geslacht";"Leeftijd";"Burgerlijke staat";"Perioden";"Regio's";"Bevolking op 1 januari (aantal)"
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Dirksland";7269
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Dirksland";8171
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Dirksland";8298
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Dirksland";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Dirksland";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Dodewaard";4011
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Dodewaard";4445
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Dodewaard";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Dodewaard";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Dodewaard";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Doesburg";10518
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Doesburg";11434
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Doesburg";11381
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Doesburg";11148
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Doesburg";11077
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Doetinchem";40922
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Doetinchem";46967
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Doetinchem";56754
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Doetinchem";57555
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Doetinchem";58001
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Domburg";3920
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Domburg";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Domburg";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Domburg";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Domburg";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Dongen";21005
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Dongen";24812
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Dongen";25533
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Dongen";26051
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Dongen";26222
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Dongeradeel";24654
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Dongeradeel";24255
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Dongeradeel";25116
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Dongeradeel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Dongeradeel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Doorn";10433
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Doorn";9968
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Doorn";10282
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Doorn";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Doorn";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Dordrecht";107871
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Dordrecht";119821
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Dordrecht";119263
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Dordrecht";118654
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Dordrecht";119284
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Drechterland";8834
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Drechterland";9878
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Drechterland";10505
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Drechterland";19597
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Drechterland";19719
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Driebergen-Rijsenburg";18122
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Driebergen-Rijsenburg";18333
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Driebergen-Rijsenburg";18575
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Driebergen-Rijsenburg";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Driebergen-Rijsenburg";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Driebruggen";4458
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Driebruggen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Driebruggen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Driebruggen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Driebruggen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Drimmelen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Drimmelen";26643
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Drimmelen";26658
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Drimmelen";27150
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Drimmelen";27272
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Dronten";23517
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Dronten";35244
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Dronten";38010
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Dronten";40815
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Dronten";41555
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Drunen";17508
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Drunen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Drunen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Drunen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Drunen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Druten";14486
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Druten";16751
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Druten";17889
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Druten";18797
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Druten";18926
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Duiveland";5432
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Duiveland";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Duiveland";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Duiveland";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Duiveland";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Duiven";13181
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Duiven";25182
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Duiven";25714
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Duiven";25332
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Duiven";25126
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Den Dungen";4165
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Den Dungen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Den Dungen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Den Dungen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Den Dungen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Dussen";6038
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Dussen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Dussen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Dussen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Dussen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Dwingeloo";3712
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Dwingeloo";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Dwingeloo";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Dwingeloo";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Dwingeloo";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Echt";16852
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Echt";19026
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Echt";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Echt";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Echt";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Echteld";6442
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Echteld";6705
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Echteld";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Echteld";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Echteld";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Echt-Susteren";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Echt-Susteren";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Echt-Susteren";32322
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Echt-Susteren";31638
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Echt-Susteren";31610
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Edam-Volendam";24406
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Edam-Volendam";27460
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Edam-Volendam";28333
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Edam-Volendam";36099
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Edam-Volendam";36197
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Ede";91246
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Ede";101700
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Ede";106416
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Ede";115710
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Ede";117165
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Eelde";10404
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Eelde";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Eelde";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Eelde";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Eelde";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Eemnes";7282
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Eemnes";8619
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Eemnes";8785
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Eemnes";9113
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Eemnes";9247
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Eemsmond";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Eemsmond";16432
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Eemsmond";16745
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Eemsmond";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Eemsmond";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Eenrum";2417
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Eenrum";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Eenrum";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Eenrum";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Eenrum";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Eersel";12241
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Eersel";18301
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Eersel";18295
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Eersel";19110
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Eersel";19313
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Egmond";11081
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Egmond";11377
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Egmond";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Egmond";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Egmond";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Eibergen";16179
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Eibergen";16580
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Eibergen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Eibergen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Eibergen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Eijsden";10996
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Eijsden";12137
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Eijsden";11751
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Eijsden";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Eijsden";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Eijsden-Margraten";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Eijsden-Margraten";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Eijsden-Margraten";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Eijsden-Margraten";25658
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Eijsden-Margraten";25768
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Eindhoven";191002
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Eindhoven";201728
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Eindhoven";208455
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Eindhoven";231642
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Eindhoven";234394
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Elburg";20439
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Elburg";21624
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Elburg";22032
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Elburg";23086
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Elburg";23161
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Elst";17413
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Elst";16733
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Elst";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Elst";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Elst";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Emmen";92323
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Emmen";105972
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Emmen";108617
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Emmen";107113
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Emmen";107048
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Enkhuizen";15874
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Enkhuizen";16946
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Enkhuizen";17308
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Enkhuizen";18507
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Enkhuizen";18591
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Enschede";144695
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Enschede";149505
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Enschede";153679
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Enschede";158986
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Enschede";159640
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Epe";33987
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Epe";33081
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Epe";33108
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Epe";33145
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Epe";33178
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Ermelo";25441
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Ermelo";26760
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Ermelo";26414
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Ermelo";26858
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Ermelo";27008
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Erp";6144
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Erp";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Erp";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Erp";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Erp";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Esch";1856
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Esch";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Esch";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Esch";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Esch";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Etten-Leur";31989
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Etten-Leur";37023
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Etten-Leur";39860
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Etten-Leur";43774
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Etten-Leur";43878
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Ezinge";1857
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Ezinge";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Ezinge";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Ezinge";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Ezinge";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Ferwerderadeel";9098
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Ferwerderadeel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Ferwerderadeel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Ferwerderadeel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Ferwerderadeel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Ferwerderadiel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Ferwerderadiel";8753
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Ferwerderadiel";8967
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Ferwerderadiel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Ferwerderadiel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Fijnaart en Heijningen";6126
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Fijnaart en Heijningen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Fijnaart en Heijningen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Fijnaart en Heijningen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Fijnaart en Heijningen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Finsterwolde";2592
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Finsterwolde";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Finsterwolde";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Finsterwolde";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Finsterwolde";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Franekeradeel";20954
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Franekeradeel";20173
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Franekeradeel";20972
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Franekeradeel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Franekeradeel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"De Friese Meren";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"De Friese Meren";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"De Friese Meren";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"De Friese Meren";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"De Friese Meren";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"De Fryske Marren";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"De Fryske Marren";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"De Fryske Marren";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"De Fryske Marren";51430
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"De Fryske Marren";51564
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Gaasterlân-Sleat";9130
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Gaasterlân-Sleat";10113
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Gaasterlân-Sleat";10208
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Gaasterlân-Sleat";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Gaasterlân-Sleat";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Gasselte";4185
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Gasselte";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Gasselte";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Gasselte";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Gasselte";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Geertruidenberg";6631
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Geertruidenberg";21139
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Geertruidenberg";20856
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Geertruidenberg";21515
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Geertruidenberg";21544
