"Geslacht";"Leeftijd";"Burgerlijke staat";"Perioden";"Regio's";"Bevolking op 1 januari (aantal)"
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Alblasserdam";20069
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Alblasserdam";20165
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Albrandswaard";13799
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Albrandswaard";16420
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Albrandswaard";20606
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Albrandswaard";25271
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Albrandswaard";25590
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Alkemade";13703
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Alkemade";14433
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Alkemade";14501
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Alkemade";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Alkemade";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Alkmaar";88085
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Alkmaar";92836
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Alkmaar";94266
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Alkmaar";108558
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Alkmaar";109436
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Almelo";62134
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Almelo";66263
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Almelo";72293
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Almelo";72849
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Almelo";73107
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Almere";57195
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Almere";142765
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Almere";175007
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Almere";207904
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Almere";211893
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Alphen aan den Rijn";58154
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Alphen aan den Rijn";69928
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Alphen aan den Rijn";70591
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Alphen aan den Rijn";110986
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Alphen aan den Rijn";111897
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Alphen en Riel";6085
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Alphen en Riel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Alphen en Riel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Alphen en Riel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Alphen en Riel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Alphen-Chaam";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Alphen-Chaam";9460
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Alphen-Chaam";9513
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Alphen-Chaam";10149
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Alphen-Chaam";10203
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Altena";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Altena";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Altena";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Altena";55386
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Altena";55967
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Ambt Delden";5647
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Ambt Delden";5489
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Ambt Delden";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Ambt Delden";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Ambt Delden";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Ambt Montfort";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Ambt Montfort";11053
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Ambt Montfort";10918
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Ambt Montfort";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Ambt Montfort";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Ameland";3171
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Ameland";3488
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Ameland";3520
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Ameland";3673
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Ameland";3716
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Amerongen";6627
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Amerongen";7294
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Amerongen";7272
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Amerongen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Amerongen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Amersfoort";93516
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Amersfoort";126143
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Amersfoort";134906
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Amersfoort";156286
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Amersfoort";157276
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Ammerzoden";4183
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Ammerzoden";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Ammerzoden";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Ammerzoden";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Ammerzoden";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Amstelveen";69413
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Amstelveen";77623
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Amstelveen";79036
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Amstelveen";90838
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Amstelveen";91675
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Amsterdam";691738
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Amsterdam";731288
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Amsterdam";742783
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Amsterdam";862965
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Amsterdam";872757
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Andijk";5842
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Andijk";6368
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Andijk";6425
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Andijk";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Andijk";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Angerlo";4436
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Angerlo";4846
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Angerlo";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Angerlo";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Angerlo";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Anloo";7314
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Anloo";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Anloo";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Anloo";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Anloo";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Anna Paulowna";10435
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Anna Paulowna";13851
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Anna Paulowna";13960
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Anna Paulowna";
